,Name,Difficulty,Distance,Elevation Gain,Route Type,hiking,views,nature trips,walking,birding,wild flowers,forest,wildlife,trail running,dogs on leash,kid friendly,mountain biking,lake,dog friendly,river,horseback riding,no dogs,camping,snowshoeing,backpacking,waterfall,fishing,off road driving,cross country skiing,scenic driving,rock climbing,road biking,wheelchair friendly,skiing,historic site,cave,city walk,paddle sports,hot springs,rails trails,beach,location,stars,Unnamed: 0,link
0,Emerald Lake Trail,MODERATE,3.1 miles,708 feet,Out & Back,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7,0,https://www.alltrails.com/trail/us/colorado/emerald-lake-trail?ref=result-card
1,Royal Arch Trail,HARD,3.0 miles,"1,377 feet",Out & Back,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.6,1,https://www.alltrails.com/trail/us/colorado/royal-arch-trail?ref=result-card
2,Beaver Brook and Chavez Trail Loop,MODERATE,5.1 miles,"1,105 feet",Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Genesee Park,4.4,2,https://www.alltrails.com/trail/us/colorado/beaver-brook-chavez-trail-loop?ref=result-card
3,Hanging Lake Trail ,MODERATE,2.8 miles,"1,204 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,White River National Forest,4.8,3,https://www.alltrails.com/trail/us/colorado/hanging-lake?ref=result-card
4,Maxwell Falls Lower Trail,MODERATE,4.2 miles,875 feet,Loop,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.1,4,https://www.alltrails.com/trail/us/colorado/maxwell-falls-lower-trail?ref=result-card
5,Sky Pond via Glacier Gorge Trail,HARD,8.1 miles,"1,765 feet",Out & Back,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.9,5,https://www.alltrails.com/trail/us/colorado/sky-pond-via-glacier-gorge-trail?ref=result-card
6,Mount Sanitas and Sanitas Valley Loop Trail,MODERATE,3.2 miles,"1,256 feet",Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.3,6,https://www.alltrails.com/trail/us/colorado/mount-sanitas-and-sanitas-valley-loop-trail?ref=result-card
7,Mount Bierstadt Trail,HARD,6.9 miles,"2,729 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Mount Evans Wilderness,4.6,7,https://www.alltrails.com/trail/us/colorado/mount-bierstadt-trail?ref=result-card
8,Gem Lake Trail,MODERATE,3.1 miles,990 feet,Out & Back,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4,8,https://www.alltrails.com/trail/us/colorado/gem-lake-trail?ref=result-card
9,Saint Mary's Glacier,EASY,1.9 miles,807 feet,Out & Back,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.5,9,https://www.alltrails.com/trail/us/colorado/st-mary-s-glacier?ref=result-card
10,Mohawk Lakes Trail,MODERATE,8.6 miles,"2,129 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Arapaho National Forest,4.7,10,https://www.alltrails.com/trail/us/colorado/mohawk-lakes-trail?ref=result-card
11,Seven Bridges Trail,MODERATE,3.7 miles,"1,033 feet",Out & Back,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,North Cheyenne Cañon Park,4.4,11,https://www.alltrails.com/trail/us/colorado/seven-bridges-trail?ref=result-card
12,Mount Falcon Castle Trail,MODERATE,7.6 miles,"1,732 feet",Out & Back,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Falcon Park,4.3,12,https://www.alltrails.com/trail/us/colorado/mount-falcon-castle-trail?ref=result-card
13,Devil's Head Lookout Trail to Fire Tower ,MODERATE,2.5 miles,885 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Pike National Forest,4.6,13,https://www.alltrails.com/trail/us/colorado/devils-head-lookout-trail-to-fire-tower?ref=result-card
14,Lake Isabelle Trail,EASY,4.5 miles,462 feet,Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian Peaks Wilderness,4.8,14,https://www.alltrails.com/trail/us/colorado/lake-isabelle?ref=result-card
15,First and Second Flatiron Hike,HARD,2.5 miles,"1,423 feet",Loop,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Boulder Open Space,4.5,15,https://www.alltrails.com/trail/us/colorado/first-and-second-flatiron-hike?ref=result-card
16,Quandary Peak Trail,HARD,6.0 miles,"3,320 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,White River National Forest,4.6,16,https://www.alltrails.com/trail/us/colorado/quandary-peak-trail?ref=result-card
17,The Loch Lake Trail,MODERATE,5.4 miles,"1,072 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7,17,https://www.alltrails.com/trail/us/colorado/the-loch-lake-trail?ref=result-card
18,Booth Falls Trail,HARD,3.9 miles,"1,361 feet",Out & Back,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,White River National Forest,4.5,18,https://www.alltrails.com/trail/us/colorado/booth-falls-trail?ref=result-card
19,Lost Lake via Hessie Trail,MODERATE,4.1 miles,869 feet,Loop,1,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Indian Peaks Wilderness,4.5,19,https://www.alltrails.com/trail/us/colorado/lost-lake-via-hessie-trail?ref=result-card
20,Diamond Lake Trail,MODERATE,5.6 miles,"1,240 feet",Out & Back,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roosevelt National Forest,4.7,20,https://www.alltrails.com/trail/us/colorado/diamond-lake-trail?ref=result-card
21,Herman Gulch Trail,MODERATE,6.3 miles,"1,755 feet",Out & Back,1,1,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Arapaho National Forest,4.6,21,https://www.alltrails.com/trail/us/colorado/herman-gulch-trail?ref=result-card
22,Alberta Falls Trail,EASY,1.6 miles,252 feet,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.4,22,https://www.alltrails.com/trail/us/colorado/alberta-falls-trail?ref=result-card
23,Ouzel Falls Trail,MODERATE,5.0 miles,948 feet,Out & Back,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.6,23,https://www.alltrails.com/trail/us/colorado/ouzel-falls-trail?ref=result-card
24,Mount Galbraith Loop via Cedar Gulch Trail,MODERATE,4.0 miles,928 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mount Galbraith Park,4.1,24,https://www.alltrails.com/trail/us/colorado/mount-galbraith-loop-via-cedar-gulch-trail?ref=result-card
25,Horsetooth Falls and Horsetooth Rock Trail,MODERATE,5.7 miles,"1,584 feet",Loop,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Horsetooth Mountain Park,4.4,25,https://www.alltrails.com/trail/us/colorado/horsetooth-falls-and-horsetooth-rock-trail?ref=result-card
26,McCullough Gulch Trail ,MODERATE,6.2 miles,"1,578 feet",Out & Back,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,White River National Forest,4.6,26,https://www.alltrails.com/trail/us/colorado/mccullough-gulch-trail?ref=result-card
27,Ice Lake Basin Trail,HARD,8.1 miles,"3,093 feet",Loop,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,San Juan National Forest,4.9,27,https://www.alltrails.com/trail/us/colorado/ice-lake-basin-trail?ref=result-card
28,Chasm Lake,MODERATE,7.7 miles,"2,522 feet",Out & Back,1,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rocky Mountain National Park,4.7,28,https://www.alltrails.com/trail/us/colorado/chasm-lake?ref=result-card
29,Rattlesnake Gulch Trail,MODERATE,3.4 miles,961 feet,Loop,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eldorado Canyon State Park,4.4,29,https://www.alltrails.com/trail/us/colorado/rattlesnake-gulch-trail?ref=result-card
